customer_id,signup_date,plan_type,monthly_fee,acquisition_cost,churn_date,is_churned,avg_logins,avg_features_used,total_support_tickets,churn_risk_score_%,at_risk_mrr_loss,recommended_action
1001,2024-11-07,Basic,50,30,,0,12.625,5.75,2,5.0,2.5,Low Risk: Upsell Pro/Enterprise Features
1002,2024-06-06,Basic,50,30,,0,13.833333333333334,5.866666666666666,3,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1003,2024-12-31,Basic,50,30,,0,18.0,9.0,0,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1004,2024-11-21,Pro,200,100,,0,12.333333333333334,6.5,0,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1005,2024-08-16,Pro,200,100,,0,14.7,5.8,2,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1006,2024-11-10,Basic,50,30,,0,14.5,5.375,0,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1007,2024-03-12,Enterprise,500,200,,0,13.883720930232558,5.953488372093023,5,3.0,15.0,Low Risk: Upsell Pro/Enterprise Features
1008,2024-11-09,Pro,200,100,,0,16.375,6.375,0,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1009,2024-08-16,Pro,200,100,,0,14.85,6.45,2,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1016,2024-08-02,Enterprise,500,200,,0,14.727272727272727,5.0,3,7.0,35.0,Low Risk: Upsell Pro/Enterprise Features
1017,2024-05-06,Pro,200,100,,0,15.228571428571428,6.2,7,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1018,2024-03-31,Pro,200,100,,0,13.15,5.7,6,26.0,52.0,Low Risk: Upsell Pro/Enterprise Features
1019,2024-06-29,Basic,50,30,,0,15.666666666666666,5.555555555555555,2,1.0,0.5,Low Risk: Upsell Pro/Enterprise Features
1020,2024-10-13,Pro,200,100,2025-05-08,1,13.2,5.8,4,76.0,152.0,High Priority: Priority 1-on-1 Call & 25% Renewal Discount
1021,2024-04-29,Pro,200,100,2024-06-21,1,6.625,2.875,2,100.0,200.0,High Priority: Priority 1-on-1 Call & 25% Renewal Discount
1022,2024-03-22,Enterprise,500,200,,0,14.804878048780488,6.2682926829268295,5,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1023,2024-12-15,Basic,50,30,2025-06-23,1,12.964285714285714,5.5,3,74.0,37.0,High Risk: Automated Re-engagement Email & 15% Discount
1024,2024-10-22,Basic,50,30,,0,15.181818181818182,5.454545454545454,2,1.0,0.5,Low Risk: Upsell Pro/Enterprise Features
1025,2024-03-13,Enterprise,500,200,,0,14.674418604651162,5.534883720930233,6,12.0,60.0,Low Risk: Upsell Pro/Enterprise Features
1026,2025-03-27,Pro,200,100,2025-06-10,1,8.090909090909092,4.545454545454546,2,100.0,200.0,High Priority: Priority 1-on-1 Call & 25% Renewal Discount
1027,2024-06-12,Pro,200,100,,0,15.033333333333333,5.833333333333333,6,1.0,2.0,Low Risk: Upsell Pro/Enterprise Features
1030,2024-11-18,Enterprise,500,200,,0,15.0,5.142857142857143,1,1.0,5.0,Low Risk: Upsell Pro/Enterprise Features
1031,2024-04-08,Pro,200,100,2024-12-14,1,13.083333333333334,5.777777777777778,3,71.0,142.0,High Priority: Priority 1-on-1 Call & 25% Renewal Discount
1034,2024-04-06,Basic,50,30,2025-04-06,1,13.264150943396226,5.3584905660377355,7,94.0,47.0,High Risk: Automated Re-engagement Email & 15% Discount
1035,2024-07-31,Basic,50,30,2025-05-02,1,12.3,5.35,2,79.0,39.5,High Risk: Automated Re-engagement Email & 15% Discount
1036,2024-05-07,Enterprise,500,200,,0,13.057142857142857,5.2,0,10.0,50.0,Low Risk: Upsell Pro/Enterprise Features
1037,2024-11-30,Pro,200,100,,0,18.4,7.2,0,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
1038,2024-01-28,Enterprise,500,200,,0,14.020408163265307,5.816326530612245,0,3.0,15.0,Low Risk: Upsell Pro/Enterprise Features
1040,2024-05-16,Enterprise,500,200,,0,12.696969696969697,6.575757575757576,2,1.0,5.0,Low Risk: Upsell Pro/Enterprise Features
1041,2024-06-21,Pro,200,100,,0,14.607142857142858,6.214285714285714,4,0.0,0.0,Low Risk: Upsell Pro/Enterprise Features
