customer_id,activity_date,login_count,features_used_count,support_tickets_opened
1001,2024-11-07,11,6,1
1001,2024-11-14,15,7,0
1001,2024-11-21,23,9,0
1001,2024-11-28,8,5,0
1001,2024-12-05,6,6,1
1001,2024-12-12,6,6,0
1001,2024-12-19,16,4,0
1001,2024-12-26,16,3,0
1002,2024-06-06,14,6,1
1002,2024-06-13,19,8,0
1002,2024-06-20,23,6,0
1002,2024-06-27,7,7,0
1002,2024-07-04,13,9,0
1002,2024-07-11,18,4,0
1002,2024-07-18,6,6,0
1002,2024-07-25,11,6,0
1002,2024-08-01,19,5,1
1002,2024-08-08,8,4,0
1002,2024-08-15,6,8,0
1002,2024-08-22,14,6,0
1002,2024-08-29,22,4,0
1002,2024-09-05,14,8,1
1002,2024-09-12,20,9,0
1002,2024-09-19,12,7,0
1002,2024-09-26,22,9,0
1002,2024-10-03,17,3,0
1002,2024-10-10,17,3,0
1002,2024-10-17,13,3,0
1002,2024-10-24,15,5,0
1002,2024-10-31,7,5,0
1002,2024-11-07,9,4,0
1002,2024-11-14,13,6,0
1002,2024-11-21,12,6,0
1002,2024-11-28,20,9,0
1002,2024-12-05,9,5,0
1002,2024-12-12,7,3,0
1002,2024-12-19,19,8,0
1002,2024-12-26,9,4,0
1003,2024-12-31,18,9,0
1004,2024-11-21,19,9,0
1004,2024-11-28,17,5,0
1004,2024-12-05,11,3,0
1004,2024-12-12,8,8,0
1004,2024-12-19,11,7,0
1004,2024-12-26,8,7,0
1005,2024-08-16,23,8,0
1005,2024-08-23,14,7,0
1005,2024-08-30,10,6,0
1005,2024-09-06,16,6,0
1005,2024-09-13,15,4,0
1005,2024-09-20,11,8,0
1005,2024-09-27,24,7,0
1005,2024-10-04,11,8,0
1005,2024-10-11,13,8,0
1005,2024-10-18,23,4,0
1005,2024-10-25,19,5,0
1005,2024-11-01,13,6,0
1005,2024-11-08,21,4,1
1005,2024-11-15,11,4,0
1005,2024-11-22,9,3,1
1005,2024-11-29,21,4,0
1005,2024-12-06,9,3,0
1005,2024-12-13,6,7,0
1005,2024-12-20,10,9,0
1005,2024-12-27,15,5,0
1006,2024-11-10,10,7,0
1006,2024-11-17,10,8,0
1006,2024-11-24,20,3,0
1006,2024-12-01,10,7,0
1006,2024-12-08,8,5,0
1006,2024-12-15,23,6,0
1006,2024-12-22,24,3,0
1006,2024-12-29,11,4,0
